Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,55000,0,USD,USA,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman
25-34,Nonprofits,Program Manager,62000,3000,62000,3000,USD,USA,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,60000,7000,USD,USA,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman
25-34,Publishing,Publishing Assistant,33000,2000,33000,2000,USD,USA,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman
45-54,Computing or Tech,Systems Analyst,112000,10000,112000,10000,USD,USA,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,45000,0,USD,USA,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,62000,0,USD,USA,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0,100000,0,USD,USA,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man
35-44,Business or Consulting,Executive Assistant,85000,5000,85000,5000,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,Some college,Woman
35-44,Business or Consulting,Senior Manager,98000,1000,98000,1000,USD,USA,Georgia,Atlanta,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Health care,Data Programmer Analyst,74000,0,74000,0,USD,USA,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman
35-44,Government and Public Administration,Researcher,96000,1000,96000,1000,USD,USA,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman
35-44,Education (Higher Education),Communications Specialist,60000,0,60000,0,USD,USA,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman
35-44,Law,Bookkeeper/Billing Manager,48000,4000,48000,4000,USD,USA,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman
35-44,Media & Digital,Editor,125000,0,125000,0,USD,USA,District of Columbia,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000,110000,15000,USD,USA,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman
35-44,Education (Higher Education),Senior IRB Analyst,68000,0,68000,0,USD,USA,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman
18-24,Media & Digital,Reporter,41000,100,41000,100,USD,USA,Michigan,Kalamazoo,2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,10000,76000,10000,USD,USA,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman
35-44,Government and Public Administration,Staff Services Manager II,78000,0,78000,0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman
